ID,LABEL
1Beautiful country style and very home styled  restaurant. The staff is friendly and quick. The apple sauce pancakes sent me to heaven. I had them with bacon and over
,POSITIVE
2The only thing that I enjoyed here was their dessert table.  The food was only so so and being that it is one of the cheaper buffets on the
,POSITIVE
3Bras $3. Shirts $5. Jeans $10. Formal dresses $20. I didn't even have time to see belts bags and shoes. The lines are long but it's worth the trip if
,POSITIVE
4YES, I appreciate the undying love and dedication to In-N-Out Burger.  I just don't get it.  To me, the burger tasted like a somewhat better "Big Mac."
,POSITIVE
5Excellent business, great service and very friendly. Been a customer almost a year and go every 30 days! Definitly recommend. 42/m
,POSITIVE
6Bueno is right! Their AZ burger is delish! The wheat bun was soft and fresh. I loved the green chili on top of the burger. They have no problems with
,POSITIVE
7Average at best. Tried the breakfast burrito.  Eggs and a bit of bacon.  All the other included items were barely recognizable. Maybe the other items are better. Not
,POSITIVE
8We had a bit of a mix up toward the beginning regarding schedule and services, but everything got worked out and I didn't have to worry about anything after that.
,POSITIVE
9I'm giving this Carl's Jr. one star for every Carl's Jr. out there.  Back home, Hardee's is THE place for breakfast.  The best biscuits in any fast food
,POSITIVE
10Ruder than rude. Use the bathroom was no toilet paper. Pull over here for 2 nights while traveling. Daytime manager told us to leave and never come back we bothered
,POSITIVE
11Best little country gift shop you will ever find! Owners are there daily, and are friendly, and helpful! I urge you to visit this delightful shop!
,POSITIVE
12I went to FEZ on my first night in PHX as a recommendation from Ivy R. (Thanks Ivy!!) I was informed that on Monday's there were $3 margaritas. I decided
,POSITIVE
13i called to get someone to come over and give me an estimate on fixing a leaky pipe in my wall.  Instead I got a drunk employee who smelled
,POSITIVE
14I enjoyed a night of food and drink at Bluewater Grill this past Wednesday. This was my third visit and I am happy to say that I was just as
,POSITIVE
15The pizza here is the best pizza I've had in the Scottsdale ! Definitely my favorite lunch place
,POSITIVE
16Just Shocking.The crab is fine, the sides are meh, but what inspired this review was the shockingly blatant racism my party was met with.This is a very casual restaurant, so
,POSITIVE
17I have nothing good to say about this place. I've been here on several occasions over the years and here's what I have observed:1- If the place is crowded (which
,POSITIVE
18Mi Peru was a culinary adventure for me. The service was great and our waiter was happy to answer any of our newbie questions.  And menu was very explanatory.
,POSITIVE
19do they think we poped up in LA or NY? the entire security staff at this hotel has the worst attitude. this is not the best place to go, unless
,POSITIVE
20Location = Convenient. The brewery is literally a hop, skip and a jump from Sky Harbor Airport (well, when you are not in rush hour). Atmosphere = Trendy College Kids
,POSITIVE
21Favorite sushi spot. Chef is awesome and quality of the fish and rice is above other sushi bars here in vegas.
,POSITIVE
22I've lived here 3 months and have decided to move.  WHen i moved in for some reason the apartment had been vaccummed but not cleaned!  There was dust
,POSITIVE
23Holy cow...what a cool vibe.  Awesome!
,POSITIVE
24I wanted to give this McDonalds NO STARS, but I didn't know if I could.  Anyway, if you want your order WRONG, this is the place to be!! I
,POSITIVE
25I would give negative stars if I could. The drive thru line was horribly long so we decided to dine in.  Upon walking in the floor seemed really dirty
,POSITIVE
26Review #2565 of Lotus of Siam. It's that popular!A little far off from the rest of the places you will visit during a trip to Vegas but worth the short
,POSITIVE
27Excellent food and service. Authentic Irish. Charming waitress!We will be back again!
,POSITIVE
28NO CASINO in this hotel. We took the Tram from Aria to check out this place and asked someone who was cleaning the trash cans if it has a Casino
,POSITIVE
29Somehow my review was deleted, so here it is again...I have been taking my Jeep in for service for the last 4 years, way too frequently I might add. 
,POSITIVE
30Unfortunately I have to give this store 2 stars based on 2 poor customer service experiences in the past week. The first time, I got home and realized that the
,POSITIVE
31The first time I went to this Firestone, the service was actually pretty good.  I returned a few months later for an alignment/balance and they pretty much lost me
,POSITIVE
32If you're on Twitter you'll see so many different places you can follow. Its cool to because they announce deals and such that are coming soon. For instance, Coup des
,POSITIVE
33Let me start out by saying if you are looking for a well proven course on motorcycle safety, look no further. The training is broken into stages . Each stage
,POSITIVE
34Ordered take-out today, and what a completely pleasant experience. Often when you call a restaurant, the person taking the call makes you feel like you're inconveniencing them. Jason's Deli was
,POSITIVE
35Very disappointing... Service was average, food was average, very bad acoustic, Price does not reflect the quality at all.
,POSITIVE
36Unique burgers with an Asian twist. The meat quality and toppings were all very fresh  and varied. I had the Miyagi-San burger ($14), which had fried egg, fried onions,
,POSITIVE
37I always enjoy my experience with National.  Their employees are very customer focused, and are enthusiastic about the jobs they do.
,POSITIVE
38Had a less that thrilling experience with the hotel. Had to request daily for towels and housekeeping service. The hotel feels it is acceptable to have housekeeping service the guests
,POSITIVE
39This show has a little of everything. Acrobatics, water, magic, and special effects. Some of the acrobatics are definitely amazing. I was entertained the entire time. There's only one weakness,
,POSITIVE
40When Smashburger opened up in this location my first thought was, "They must really have some b@lls to open up across the street from In-N-Out." My initial visit was pleasing.
,POSITIVE
41After the Pei Wei identity theft closures and subsequent reopening, this Pei Wei has gotten even worse! My Japanese Teriyaki with shrimp tasted off as did the vegetable spring rolls.
,POSITIVE
42Went to Sala Thai two nights ago, was very busy but received our appetizers in a short amount of time and entrees commensurate.  Small restaurants like this keep their
,POSITIVE
43I waited for the "Finally" sign to be taken down to give this neighborhood place a try.  I drove over tonight, and I was disappointed.  The place is
,POSITIVE
